track_id,track_name,track_popularity,track_duration,artist_name,artist_popularity,genres,available_markets,danceability,acousticness,tempo
7ynkxecZ6H873el4lBzw5C,"String Quartet No.4 in C, K.157: 3. Presto",6,99186,Wolfgang Amadeus Mozart,79,classical,95,0.577,0.959,92.817
3JGqdP88wrRe9QEVCDHQv9,"Quiet, Heavy Dreams",55,174255,Zach Bryan,70,oklahoma country,178,0.639,0.814,84.493
3CAqTfkRgmImhxYDjyL6S7,I Found You,72,151733,Andy Grammer,78,dance pop,175,0.728,0.0945,137.97
6wozCBMA0BW8tXhSry5Pm0,Machucando,0,178800,Daddy Yankee,91,latin,95,0.846,0.23,93.962
6QNFQJKlZUKr0xlGZ74CZJ,Rich And Blind,73,228720,Juice WRLD,96,chicago rap,176,0.638,0.0102,159.937
6qcuRcbz8DCLG6nG4or8Uo,Cherry Hill,65,222453,Russ,82,hawaiian hip hop,178,0.681,0.161,130.022
0kEZlJh4mK1QRfb3CT5LPk,Kill Yourself (Part III),78,145078,$uicideboy$,86,dark trap,177,0.753,0.326,105.977
4tcPIwy0UvLYjhXLrMyx89,Pump It Up,61,150635,Endor,65,deep groove house,2,0.898,0.207,129.047
0JJP0IS4w0fJx01EcrfkDe,"Dear Maria, Count Me In",80,182826,All Time Low,78,modern rock,178,0.459,0.00725,181.04
1gqkRc9WtOpnGIqxf2Hvzr,On Sight,66,156480,Kanye West,93,chicago rap,178,0.605,0.487,101.601
3YFjIEWKr3Da6rJjVWAoxH,Vas A Querer Regresar,68,190706,Christian Nodal,88,mariachi,178,0.619,0.278,170.192
0JcKdUGNR7zI4jJDLyYXbi,Stuck Like Glue,65,247586,Sugarland,64,contemporary country,178,0.702,0.329,83.961
3VayB5gLZGODx8b7RO1y5f,"No Suburban, Pt. 2",71,153561,Sheff G,75,brooklyn drill,178,0.85,0.476,143.973
3KkXRkHbMCARz0aVfEt68P,Sunflower - Spider-Man: Into the Spider-Verse,83,158040,Post Malone,93,dfw rap,178,0.76,0.556,89.911
4DNhuBSBRZ1DQn0PbBiBpF,61st to 64th,57,121853,Lil Zay Osama,56,chicago rap,178,0.843,0.403,73.063
5pmgHhXKSc3pePUf5tt6My,Gangsta Zone,0,213000,Daddy Yankee,91,latin,95,0.655,0.0321,184.027
0uxSUdBrJy9Un0EYoBowng,20 Min,82,220586,Lil Uzi Vert,91,melodic rap,178,0.773,0.109,123.426
0DILU9jjSTnCv1dcbUH3ib,Sick and Tired (ft. Machine Gun Kelly and Travis Barker),74,144000,iann dior,87,melodic rap,178,0.748,0.151,145.097
2aSC2xhRxOLiiZZVjhbylH,"Hold On, We're Going Home",71,227880,Drake,99,canadian hip hop,170,0.777,0.00421,100.002
7q4YEvHMMuoddBexkC7O7J,Pam Pam,0,227280,Wisin & Yandel,85,electro latino,95,0.874,0.121,95.025
2kTYr1MEn7lzybRudQpmWx,Vaya Vaya,71,185236,Cartel De Santa,80,latin hip hop,177,0.691,0.27,134.037
6CUP2khYzdphXebxVTfPE3,Lo Mein,68,195299,Lil Uzi Vert,91,melodic rap,178,0.855,0.0888,133.082
4Zgr1LL7elkbzgi0GKKV7E,La Nueva Y La Ex,0,197053,Daddy Yankee,91,latin,95,0.639,0.0462,198.051
4mY1gL0CStqxSczWTAqgeF,Fancy,2,199946,Iggy Azalea,77,australian hip hop,95,0.912,0.108,94.958
5YaskwnGDZFDRipaqzbwQx,Your Love (9PM),90,150052,ATB,80,german dance,173,0.669,0.194,125.993
1ndyl3wJCFs872XZ3ztPk6,"DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix",74,258600,Justin Quiles,87,latin,178,0.743,0.0451,170.001
1IZGMPe57hATuLJgmMR4eP,"BODY IN MOTION (feat. Bryson Tiller, Lil Baby & Roddy Ricch)",68,306193,DJ Khaled,84,dance pop,178,0.669,0.009,91.969
0k7wmahjkn389wAZdz19Cv,Drankin N Smokin,78,213520,Future,91,atl hip hop,178,0.752,0.0421,151.951
47BBI51FKFwOMlIiX6m8ya,I Want It That Way,79,213306,Backstreet Boys,79,boy band,178,0.689,0.257,99.039
4Ys8jQvZOISzmp34BsImRf,Washing Machine Heart,78,128198,Mitski,81,brooklyn indie,177,0.617,0.00999,106.0
4WjKemXvKTBbNFXZlQSxtf,All I Got,66,193454,Rod Wave,84,florida rap,177,0.516,0.415,75.927
2mt1IqcFyY1zmYZT8Q3xw9,hot girl bummer,85,188343,blackbear,87,electropop,178,0.782,0.125,129.992
1kF9FK8ZuhbTlC7HZtekzD,interlude IV (Showtime),60,103618,Zach Callison,67,otacore,172,0.792,0.384,120.165
0NLBwQBYJhEM9t3KAMPFVR,Sold (The Grundy County Auction Incident),68,152186,John Michael Montgomery,65,contemporary country,178,0.771,0.108,115.642
3omXshBamrREltcf24gYDC,First,68,200360,Cold War Kids,66,indie pop,143,0.468,0.0202,78.009
05Sgj1Hx03ZXc57gsV1kfX,It's Goin' Down (feat. Nitti),65,241840,Yung Joc,68,atl hip hop,164,0.888,0.0986,84.003
4FmCUATNIarCQh72JYdvnm,That's Life,70,187040,Frank Sinatra,80,adult standards,178,0.56,0.55,112.803
0j8ppsOOawdPCJnSTcXgOy,GOSHA,76,120000,$NOT,79,florida rap,178,0.847,0.81,79.975
0Rx0DJI556Ix5gBny6EWmn,Paradise,77,169038,Bazzi,81,dance pop,178,0.844,0.0828,122.061
5nzXefpL8WI8II9JlZuAJy,A Ella,0,198720,KAROL G,90,latin,95,0.73,0.244,181.988
5Z3GHaZ6ec9bsiI5BenrbY,Young Dumb & Broke,81,202546,Khalid,92,alternative r&b,178,0.798,0.199,136.949
0SiywuOBRcynK0uKGWdCnn,Bad Romance,81,294573,Lady Gaga,90,dance pop,172,0.696,0.00314,119.001
2HcyIzVsX45jLIxK7SH2aI,One Love / People Get Ready - Medley,73,172933,Bob Marley & The Wailers,84,reggae,165,0.725,0.0783,76.292
3LBxirjR6hv0Pn4I2N9TfF,Machucando,0,178800,Daddy Yankee,91,latin,95,0.846,0.23,93.962
23L5CiUhw2jV1OIMwthR3S,In the Name of Love,78,195706,Martin Garrix,83,dance pop,178,0.501,0.109,133.99
3Z8FwOEN59mRMxDCtb8N0A,Be Kind (with Halsey),83,172761,Marshmello,89,brostep,178,0.63,0.00776,93.995
24ySl2hOPGCDcxBxFIqWBu,Rain On Me (with Ariana Grande),82,182200,Lady Gaga,90,dance pop,177,0.672,0.021,123.056
2fYrqiJGqR9fQnTXExl7qH,When Somebody Loves You,0,115400,Frank Sinatra,80,adult standards,93,0.271,0.618,121.915
047fCsbO4NdmwCBn8pcUXl,Marvins Room,73,347226,Drake,99,canadian hip hop,176,0.492,0.646,111.519
5cbpoIu3YjoOwbBDGUEp3P,Car Radio,72,267720,Twenty One Pilots,87,modern rock,158,0.766,0.098,129.972
0O45fw2L5vsWpdsOdXwNAR,SexyBack (feat. Timbaland),79,242733,Justin Timberlake,84,dance pop,178,0.967,0.0584,117.0
1lATXTBJDHwawvT1UfxWu3,The Pot,68,381946,TOOL,75,alternative metal,178,0.469,0.000148,107.45
3WyRgi8CzQnhzO0xw79tTS,Goin Baby,70,141826,DaBaby,94,north carolina hip hop,176,0.755,0.128,132.906
03ThZweiBWFP8tOGsk6QMO,Russian Cream,68,142497,Key Glock,77,memphis hip hop,178,0.867,0.11,130.007
6ABAUBmOyfPtAUU0IpEKJf,The Question,61,371870,Mac Miller,87,hip hop,178,0.736,0.0555,134.99
0dG78AYvG2925a6fEV65HT,Variations Goldberg BWV 988: Variation 30 Quodlibet,18,100760,Johann Sebastian Bach,80,baroque,95,0.711,0.996,79.374
43WYPxyEfIxlIjNlxQGYzc,Cry About It Later (feat. Luísa Sonza & Bruno Martini),69,159285,Katy Perry,88,dance pop,178,0.676,0.0513,125.957
2hjAc6x8EoSLhGxRNg8KEw,Crazy Love - 2013 Remaster,66,155453,Van Morrison,77,classic rock,162,0.575,0.841,77.464
19m3E0nMZobyA93AxMXC32,I'm Still,72,192859,Juice WRLD,96,chicago rap,176,0.631,0.0811,119.948
4nVBt6MZDDP6tRVdQTgxJg,Story of My Life,83,245493,One Direction,91,boy band,178,0.6,0.225,121.07
5AnSllIrgGsCZzZJkVnApx,Eyes On You,72,182493,Chase Rice,70,contemporary country,177,0.606,0.323,97.155
4Ce2uZnkSQ17ZOkZAtFhng,Just Dance,0,244055,Lady Gaga,90,dance pop,95,0.813,0.0318,118.976
278kSqsZIiYp8p3QjYAqa8,NI BIEN NI MAL,75,236215,Bad Bunny,98,latin,177,0.826,0.556,128.028
6tO5bxNnMuh1c3cziSpecA,Paris,75,111020,$uicideboy$,86,dark trap,177,0.849,0.0706,106.058
0rbKrBvZUYY9GN9l057BuY,"always, i'll care",74,146160,Jeremy Zucker,82,electropop,178,0.732,0.897,105.165
7tGlzXJv6GD5e5qlu5YmDg,Love Me,70,253440,Lil Wayne,90,hip hop,3,0.674,0.0119,124.952
18AXbzPzBS8Y3AkgSxzJPb,In The Air Tonight - 2015 Remastered,77,336453,Phil Collins,80,mellow gold,176,0.446,0.551,189.507
2X5AFygz5SDYlXagyPw8kX,Binibini,78,221538,Zack Tabudlo,70,acoustic opm,178,0.642,0.423,129.863
5SkRLpaGtvYPhw02vZhQQ9,All Falls Down,74,223506,Kanye West,93,chicago rap,173,0.657,0.149,91.03
4ylWMuGbMXNDgDd8lErEle,The Greatest Show,76,302146,Hugh Jackman,74,hollywood,177,0.417,0.000239,157.92
